Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Holiday,Weather_Temperature_Avg,Weather_Wind_Speed_Avg,Weather_Precipitation_Sum,Weather_Relative_Humidity_Avg
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-01,2824.0,0.0,20.033335,18.390001,0.1,68.06519
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-02,4739.0,0.0,20.41875,20.985,0.0,71.02064
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-03,5296.0,0.0,20.072916,25.38,0.0,76.05137
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-05,5563.0,0.0,20.289583,30.209995,0.0,69.702194
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-06,4372.0,1.0,20.2125,29.100004,0.0,65.38213
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-07,3432.0,0.0,20.293749,32.489998,0.0,65.441795
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-08,2897.0,1.0,20.354166,42.87,2.4,78.36261
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-09,4790.0,0.0,19.541666,41.16,11.2,85.6623
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-10,5175.0,0.0,18.931248,35.399998,4.2000003,67.62701
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-11,5257.0,0.0,18.725,34.170002,0.0,58.731518
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-12,6164.0,0.0,19.060415,21.689999,0.0,72.19218
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-13,5373.0,0.0,20.65,36.254997,0.6,71.646454
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-14,3787.0,0.0,20.65,62.774998,67.2,91.30259
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-16,1306.0,0.0,19.464582,34.664997,0.7,62.8083
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-17,1436.0,0.0,17.560417,28.664999,0.0,64.23404
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-18,3984.0,0.0,18.804167,18.720001,0.0,72.08967
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-19,4515.0,0.0,18.78125,24.644999,0.0,78.812935
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-20,4060.0,0.0,18.977083,23.775,0.0,81.56758
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-21,3069.0,0.0,20.054167,33.585,0.0,73.914986
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-22,4774.0,0.0,20.987501,50.984997,0.5,71.36141
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-23,4950.0,0.0,21.064585,40.44,0.1,71.10818
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-24,5825.0,0.0,20.822914,19.575,0.1,71.720505
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-25,5481.0,0.0,20.172918,21.48,1.5,75.82983
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-26,6478.0,0.0,20.235418,26.925,0.8,75.37932
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-27,5231.0,0.0,20.247917,29.025,2.6,76.392334
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-28,1094.0,0.0,20.106249,33.735,6.9,75.79678
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-01,1345.0,0.0,20.016666,31.2,31.300001,84.8072
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-02,1391.0,0.0,20.231249,31.889997,6.1000004,89.142265
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-03,1361.0,0.0,19.733334,27.240002,5.7999997,85.7669
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-04,1492.0,0.0,18.677084,20.685001,3.0999997,81.62507
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-05,1534.0,0.0,19.102083,28.41,2.5000002,77.88696
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-06,1277.0,0.0,18.554167,42.524998,0.8,67.11083
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-07,3266.0,0.0,18.61875,52.08,0.90000004,63.855404
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-03-08,4734.0,0.0,18.183334,23.834997,0.8,72.02463
